ViewAuditOccupationSkills List - Total Count: 4690

OccupationName,SkillsName
"Assistente de Escala","PROCESSOS DE TRABALHO EM REGIME DE ESCALA"
"Assistente de Escala","SISTEMA DE ESCALA"
"Assistente de Tráfego","APLICATIVOS OFFICE"
"Assistente de Tráfego","LEGISLAÇÃO DO MOTORISTA"
"Assistente de Tráfego","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Assistente de Tráfego","MATRIZ DE OPERAÇÃO DO GRUPO"
"Assistente de Tráfego","CÁLCULO DE PONTO - NÍVEL BÁSICO"
"Assistente de Tráfego","SISTEMAS INFORMATIZADOS DE CENTRAL DE RESERVAS"
"Cobrador","MATEMÁTICA BÁSICA"
"Cobrador","ROTAS E ITINERÁRIOS"
"Cobrador","PADRÕES OPERACIONAIS"
"Cobrador","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Motorista","APLICATIVOS OPERACIONAIS"
"Motorista","DIREÇÃO DEFENSIVA"
"Motorista","DIREÇÃO ECONÔMICA"
"Motorista","FROTA DE VEÍCULOS DA EMPRESA"
"Motorista","MECÂNICA BÁSICA"
"Motorista","ROTAS E ITINERÁRIOS"
"Motorista","PADRÕES OPERACIONAIS"
"Motorista","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Motorista Instrutor I","DIREÇÃO DEFENSIVA"
"Motorista Instrutor I","DIREÇÃO ECONÔMICA"
"Motorista Instrutor I","FROTA DE VEÍCULOS DA EMPRESA"
"Motorista Instrutor I","MECÂNICA BÁSICA"
"Motorista Instrutor I","TÉCNICAS DE FEEDBACK"
"Motorista Instrutor I","TÉCNICAS DE TREINAMENTO"
"Motorista Instrutor I","APLICATIVOS OFFICE"
"Motorista Instrutor I","LEGISLAÇÃO DO MOTORISTA"
"Motorista Instrutor I","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Motorista Instrutor I","MATRIZ DE OPERAÇÃO DO GRUPO"
"Motorista Instrutor","DIREÇÃO DEFENSIVA"
"Motorista Instrutor","DIREÇÃO ECONÔMICA"
"Motorista Instrutor","FROTA DE VEÍCULOS DA EMPRESA"
"Motorista Instrutor","INDICADORES OPERACIONAIS"
"Motorista Instrutor","LEGISLAÇÃO DO MOTORISTA"
"Motorista Instrutor","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Motorista Instrutor","MATRIZ DE OPERAÇÃO DO GRUPO"
"Motorista Instrutor","PACOTE OFFICE INTERMEDIÁRIO"
"Motorista Instrutor","TÉCNICAS DE FEEDBACK"
"Motorista Instrutor","TÉCNICAS DE TREINAMENTO"
"Auxiliar de Portaria","SEGURANÇA PATRIMONIAL"
"Assistente de Portaria","PROCESSOS DE TRABALHO EM REGIME DE ESCALA"
"Assistente de Portaria","SEGURANÇA PATRIMONIAL"
"Assistente de Portaria","APLICATIVOS OFFICE"
"Analista de Tráfego","ANÁLISE DE INDICADORES E ORÇAMENTOS"
"Analista de Tráfego","FROTA DE VEÍCULOS DA EMPRESA"
"Analista de Tráfego","LEGISLAÇÃO DO MOTORISTA"
"Analista de Tráfego","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Analista de Tráfego","MATRIZ DE OPERAÇÃO DO GRUPO"
"Analista de Tráfego","PROCESSOS DE TRABALHO EM REGIME DE ESCALA"
"Analista de Tráfego","SISTEMA DE ESCALA"
"Analista de Tráfego","PACOTE OFFICE AVANÇADO"
"Analista de Monitoramento da Operação","APLICATIVOS OFFICE"
"Analista de Monitoramento da Operação","TACÓGRAFO"
"Analista de Monitoramento da Operação","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Analista de Monitoramento da Operação","SISTEMAS DE MONITORAMENTO"
"Analista de Sistemas de Tráfego","LEGISLAÇÃO DO MOTORISTA"
"Analista de Sistemas de Tráfego","PACOTE OFFICE AVANÇADO"
"Analista de Sistemas de Tráfego","PROCESSOS DE TRABALHO EM REGIME DE ESCALA"
"Analista de Sistemas de Tráfego","SISTEMAS WEB E APLICATIVOS"
"Analista de Sistemas de Tráfego","TÉCNICAS DE TREINAMENTO"
"Analista de Sistemas de Tráfego","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Coordenador de Tráfego","ANÁLISE DE INDICADORES E ORÇAMENTOS"
"Coordenador de Tráfego","FROTA DE VEÍCULOS DA EMPRESA"
"Coordenador de Tráfego","LEGISLAÇÃO DO MOTORISTA"
"Coordenador de Tráfego","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Coordenador de Tráfego","MATRIZ DE OPERAÇÃO DO GRUPO"
"Coordenador de Tráfego","PROCESSOS DE TRABALHO EM REGIME DE ESCALA"
"Coordenador de Tráfego","TÉCNICAS DE TREINAMENTO"
"Coordenador de Tráfego","GESTÃO DE PESSOAS"
"ANALISTA ADMINISTRATIVO FINANCEIRO III","EDITOR DE TEXTOS"
"ANALISTA ADMINISTRATIVO FINANCEIRO III","LEI 8.666/93 - LICITAÇÕES"
"ANALISTA ADMINISTRATIVO FINANCEIRO III","PLANILHA ELETRÔNICA"
"ANALISTA ADMINISTRATIVO FINANCEIRO III","PUBLI"
"ANALISTA ADMINISTRATIVO FINANCEIRO III","DEMONSTRAÇÕES FINANCEIRAS E CONTÁBEIS"
"ANALISTA ADMINISTRATIVO FINANCEIRO II","EDITOR DE TEXTOS"
"ANALISTA ADMINISTRATIVO FINANCEIRO II","LEI 8.666/93 - LICITAÇÕES"
"ANALISTA ADMINISTRATIVO FINANCEIRO II","PLANILHA ELETRÔNICA"
"ANALISTA ADMINISTRATIVO FINANCEIRO II","PUBLI"
"ANALISTA ADMINISTRATIVO FINANCEIRO I","EDITOR DE TEXTOS"
"ANALISTA ADMINISTRATIVO FINANCEIRO I","PLANILHA ELETRÔNICA"
"ANALISTA ADMINISTRATIVO FINANCEIRO I","PUBLI"
"ANALISTA RECURSOS HUMANOS I","EDITOR DE TEXTOS"
"ANALISTA RECURSOS HUMANOS I","PLANILHA ELETRÔNICA"
"ANALISTA RECURSOS HUMANOS I","PUBLI"
"ANALISTA RECURSOS HUMANOS I","EDITOR DE APRESENTAÇÕES"
"ASSISTENTE ADMINISTRATIVO FINANCEIRO","EDITOR DE TEXTOS"
"ASSISTENTE ADMINISTRATIVO FINANCEIRO","PLANILHA ELETRÔNICA"
"AUXILIAR ADMINISTRATIVO FINANCEIRO","EDITOR DE TEXTOS"
"AUXILIAR ADMINISTRATIVO FINANCEIRO","PLANILHA ELETRÔNICA"
"AUXILIAR SERVIÇOS GERAIS","DISCRIÇÃO / DIPLOMACIA / SIGILO"
"AUXILIAR SERVIÇOS GERAIS","MANUSEIO DE ALIMENTOS E BEBIDAS"
"HEAD GESTÃO","CONTABILIDADE FISCAL "
"HEAD GESTÃO","DEMONSTRAÇÕES FINANCEIRAS E CONTÁBEIS"
"HEAD GESTÃO","LEGISLAÇÃO TRABALHISTA"
"HEAD GESTÃO","LEI 8.666/93 - LICITAÇÕES"
"HEAD GESTÃO","PLANILHA ELETRÔNICA"
"HEAD INTELIGÊNCIA CRIATIVA","FERRAMENTAS DE GESTÃO DE PESSOAS"
"HEAD INTELIGÊNCIA CRIATIVA","GESTÃO DE PROJETOS ÁGEIS"
"HEAD INTELIGÊNCIA CRIATIVA","LEGISLAÇÃO TRABALHISTA"
"HEAD INTELIGÊNCIA CRIATIVA","MARKETING DIGITAL"
"HEAD INTELIGÊNCIA CRIATIVA","NEGOCIAÇÃO"
"HEAD INTELIGÊNCIA CRIATIVA","PACOTE ADOBE"
"HEAD INTELIGÊNCIA CRIATIVA","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"HEAD INTELIGÊNCIA CRIATIVA","PLANILHA ELETRÔNICA"
"HEAD INTELIGÊNCIA CRIATIVA","PUBLI"
"CONTEUDISTA III","EDITOR DE APRESENTAÇÕES"
"CONTEUDISTA III","PLANILHA ELETRÔNICA"
"CONTEUDISTA III","PORTUGUÊS AVANÇADO"
"CONTEUDISTA III","STORYTELLING DE MARCAS"
"CONTEUDISTA III","PUBLI"
"CONTEUDISTA II","EDITOR DE APRESENTAÇÕES"
"CONTEUDISTA II","PLANILHA ELETRÔNICA"
"CONTEUDISTA II","PORTUGUÊS AVANÇADO"
"CONTEUDISTA II","STORYTELLING DE MARCAS"
"CONTEUDISTA II","PUBLI"
"CONTEUDISTA I","EDITOR DE APRESENTAÇÕES"
"CONTEUDISTA I","PLANILHA ELETRÔNICA"
"CONTEUDISTA I","PUBLI"
"CONTEUDISTA I","PORTUGUÊS AVANÇADO"
"REDATOR III","EDITOR DE APRESENTAÇÕES"
"REDATOR III","EDITOR DE TEXTOS"
"REDATOR III","PLANILHA ELETRÔNICA"
"REDATOR III","PORTUGUÊS AVANÇADO"
"REDATOR III","PUBLI"
"REDATOR II","EDITOR DE APRESENTAÇÕES"
"REDATOR II","EDITOR DE TEXTOS"
"REDATOR II","PLANILHA ELETRÔNICA"
"REDATOR II","PORTUGUÊS AVANÇADO"
"REDATOR II","PUBLI"
"REDATOR I","EDITOR DE APRESENTAÇÕES"
"REDATOR I","EDITOR DE TEXTOS"
"REDATOR I","PLANILHA ELETRÔNICA"
"REDATOR I","PORTUGUÊS AVANÇADO"
"REDATOR I","PUBLI"
"DESIGN DIGITAL II","DESIGN"
"DESIGN DIGITAL II","EXPERIÊNCIAS DE USUÁRIOS (UX)"
"DESIGN DIGITAL II","NOÇÕES HTML / CSS"
"DESIGN DIGITAL II","PACOTE ADOBE"
"DESIGN DIGITAL II","PUBLI"
"PLANEJAMENTO III","EDITOR DE APRESENTAÇÕES"
"PLANEJAMENTO III","EDITOR DE TEXTOS"
"PLANEJAMENTO III","MERCADO CONSUMIDOR"
"PLANEJAMENTO III","PLANEJAMENTO"
"PLANEJAMENTO III","PLANILHA ELETRÔNICA"
"PLANEJAMENTO III","PUBLI"
"PLANEJAMENTO III","LEI 8.666/93 - LICITAÇÕES"
"PLANEJAMENTO II","EDITOR DE APRESENTAÇÕES"
"PLANEJAMENTO II","EDITOR DE TEXTOS"
"PLANEJAMENTO II","MERCADO CONSUMIDOR"
"PLANEJAMENTO II","PLANEJAMENTO"
"PLANEJAMENTO II","PLANILHA ELETRÔNICA"
"PLANEJAMENTO II","PUBLI"
"PLANEJAMENTO I","EDITOR DE APRESENTAÇÕES"
"PLANEJAMENTO I","EDITOR DE TEXTOS"
"PLANEJAMENTO I","MERCADO CONSUMIDOR"
"PLANEJAMENTO I","PLANEJAMENTO"
"PLANEJAMENTO I","PLANILHA ELETRÔNICA"
"PLANEJAMENTO I","PUBLI"
"Assistente Jurídico","APLICATIVOS OFFICE"
"Assistente Jurídico","CONVENÇÃO COLETIVA DE TRABALHO DE CATEGORIAS"
"Assistente Jurídico","DIRETRIZES INSTITUCIONAIS"
"Assistente Jurídico","DOMÍNIO DE PROCESSOS ELETRÔNICOS/VIRTUAIS"
"Assistente Jurídico","LEGISLAÇÃO CIVIL"
"Assistente Jurídico","LEGISLAÇÃO COMERCIAL"
"Assistente Jurídico","LEGISLAÇÃO TRABALHISTA"
"Assistente Jurídico","REDAÇÃO TÉCNICA JURÍDICA"
"Assistente Jurídico","SOFTWARE JURÍDICO"
"Assistente Jurídico","LEGISLAÇÃO EDUCACIONAL"
"DIRETOR DE ARTE II","DESIGN"
"DIRETOR DE ARTE II","EXPERIÊNCIAS DE USUÁRIOS (UX)"
"DIRETOR DE ARTE II","PACOTE ADOBE"
"DIRETOR DE ARTE II","PUBLI"
"DIRETOR DE ARTE II","NOÇÕES HTML / CSS"
"DIRETOR DE ARTE I","DESIGN"
"DIRETOR DE ARTE I","PACOTE ADOBE"
"DIRETOR DE ARTE I","PUBLI"
"DIRETOR DE ARTE III","AFTER EFFECTS"
"DIRETOR DE ARTE III","DESIGN"
"DIRETOR DE ARTE III","PACOTE ADOBE"
"DIRETOR DE ARTE III","PUBLI"
"DIRETOR DE ARTE III","HTML ou HTML 5"
"Assessor Jurídico","CONVENÇÃO COLETIVA DE TRABALHO"
"Assessor Jurídico","DIRETRIZES E DOCUMENTOS INSTITUCIONAIS"
"ARTE FINALISTA III","COREL DRAW"
"ARTE FINALISTA III","PACOTE ADOBE"
"ARTE FINALISTA III","PUBLI"
"ARTE FINALISTA III","AFTER EFFECTS"
"ARTE FINALISTA II","COREL DRAW"
"ARTE FINALISTA II","PACOTE ADOBE"
"ARTE FINALISTA II","PUBLI"
"Coordenador Jurídico","CONVENÇÃO COLETIVA DE TRABALHO DE CATEGORIAS"
"Coordenador Jurídico","DIRETRIZES INSTITUCIONAIS"
"Coordenador Jurídico","DOMÍNIO DE PROCESSOS ELETRÔNICOS/VIRTUAIS"
"Coordenador Jurídico","GESTÃO DE PESSOAS"
"Coordenador Jurídico","LEGISLAÇÃO CIVIL"
"Coordenador Jurídico","LEGISLAÇÃO COMERCIAL"
"Coordenador Jurídico","LEGISLAÇÃO TRABALHISTA"
"Coordenador Jurídico","REDAÇÃO TÉCNICA JURÍDICA"
"Coordenador Jurídico","SOFTWARE JURÍDICO"
"Coordenador Jurídico","LEGISLAÇÃO EDUCACIONAL"
"ARTE FINALISTA I","COREL DRAW"
"ARTE FINALISTA I","PACOTE ADOBE"
"ARTE FINALISTA I","PUBLI"
"HEAD PERFORMANCE","INTELIGÊNCIA DE MERCADO"
"HEAD PERFORMANCE","LEI 8.666/93 - LICITAÇÕES"
"HEAD PERFORMANCE","MÉTODOS ÁGEIS"
"HEAD PERFORMANCE","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"HEAD PERFORMANCE","PLANILHA ELETRÔNICA"
"PRODUTOR III","EDITOR DE TEXTOS"
"PRODUTOR III","LINGUAGEM AUDIOVISUAL E AUDIOFÔNICA"
"PRODUTOR III","PLANILHA ELETRÔNICA"
"PRODUTOR III","PRODUÇÕES ELETRÔNICAS"
"PRODUTOR III","PUBLI"
"PRODUTOR III","IMPRESSÕES GRÁFICAS -  OFFSET, DIGITAL E SERIGRAFIA"
"PRODUTOR II","EDITOR DE TEXTOS"
"PRODUTOR II","IMPRESSÕES GRÁFICAS -  OFFSET, DIGITAL E SERIGRAFIA"
"PRODUTOR II","LINGUAGEM AUDIOVISUAL E AUDIOFÔNICA"
"PRODUTOR II","PLANILHA ELETRÔNICA"
"PRODUTOR II","PRODUÇÕES ELETRÔNICAS"
"PRODUTOR II","PUBLI"
"PRODUTOR I","EDITOR DE TEXTOS"
"PRODUTOR I","IMPRESSÕES GRÁFICAS -  OFFSET, DIGITAL E SERIGRAFIA"
"PRODUTOR I","LINGUAGEM AUDIOVISUAL E AUDIOFÔNICA"
"PRODUTOR I","PLANILHA ELETRÔNICA"
"PRODUTOR I","PRODUÇÕES ELETRÔNICAS"
"PRODUTOR I","PUBLI"
"MÍDIA III","EDITOR DE APRESENTAÇÕES"
"MÍDIA III","EDITOR DE TEXTOS"
"MÍDIA III","IBOPE EASY MÍDIA - PESQUISA DE RÁDIO"
"MÍDIA III","PLANILHA ELETRÔNICA"
"MÍDIA III","PUBLI"
"MÍDIA III","POINTLOGIC"
"MÍDIA II","EDITOR DE APRESENTAÇÕES"
"MÍDIA II","EDITOR DE TEXTOS"
"MÍDIA II","IBOPE EASY MÍDIA - PESQUISA DE RÁDIO"
"MÍDIA II","PLANILHA ELETRÔNICA"
"MÍDIA II","POINTLOGIC"
"MÍDIA II","PUBLI"
"MÍDIA I","EDITOR DE APRESENTAÇÕES"
"MÍDIA I","EDITOR DE TEXTOS"
"MÍDIA I","GOOGLE DATA STUDIO"
"MÍDIA I","PLANILHA ELETRÔNICA"
"MÍDIA I","POINTLOGIC"
"MÍDIA I","PUBLI"
"ANALISTA BI III","BANCO DE DADOS RELACIONAIS - MYSQL, MARIADB, POSTGRE"
"ANALISTA BI III","EDITOR DE TEXTOS"
"ANALISTA BI III","ESTATÍSTICA APLICADA"
"ANALISTA BI III","ESTRUTURA DE DADOS"
"ANALISTA BI III","PLANILHA ELETRÔNICA"
"ANALISTA BI III","GOOGLE DATA STUDIO"
"ANALISTA BI II","ESTATÍSTICA APLICADA"
"ANALISTA BI II","ESTRUTURA DE DADOS"
"ANALISTA BI II","PLANILHA ELETRÔNICA"
"ANALISTA BI II","GOOGLE DATA STUDIO"
"ANALISTA BI I","PLANILHA ELETRÔNICA"
"ANALISTA BI I","GOOGLE DATA STUDIO"
"DESENVOLVEDOR II","APLICAÇÕES DE VERSIONAMENTO - GIT."
"DESENVOLVEDOR II","BANCO DE DADOS RELACIONAIS - MYSQL, MARIADB, POSTGRE"
"DESENVOLVEDOR II","DESENVOLVIMENTO WEB - DESIGNS RESPONSIVOS."
"DESENVOLVEDOR II","LINGUAGENS DE PROGRAMAÇÃO - PHP E JAVASCRIPT"
"DESENVOLVEDOR II","SISTEMAS LINUX"
"DESENVOLVEDOR II","INGLÊS AVANÇADO"
"DESENVOLVEDOR I","APLICAÇÕES DE VERSIONAMENTO - GIT."
"DESENVOLVEDOR I","DESENVOLVIMENTO WEB - DESIGNS RESPONSIVOS."
"DESENVOLVEDOR I","INGLÊS NÍVEL MÉDIO"
"DESENVOLVEDOR I","LINGUAGENS DE PROGRAMAÇÃO - PHP E JAVASCRIPT"
"DESENVOLVEDOR III","APLICAÇÕES DE VERSIONAMENTO - GIT."
"DESENVOLVEDOR III","BANCO DE DADOS RELACIONAIS - MYSQL, MARIADB, POSTGRE"
"DESENVOLVEDOR III","DESENVOLVIMENTO WEB - DESIGNS RESPONSIVOS."
"DESENVOLVEDOR III","INGLÊS AVANÇADO"
"DESENVOLVEDOR III","LINGUAGENS DE PROGRAMAÇÃO - PHP E JAVASCRIPT"
"DESENVOLVEDOR III","SISTEMAS LINUX"
"DESENVOLVEDOR III","GERENCIAMENTO DE PROJETOS"
"SOCIAL MEDIA III","EDITOR DE TEXTOS"
"SOCIAL MEDIA III","FERRAMENTAS DE SOCIAL LISTENING/SAC 2.0."
"SOCIAL MEDIA III","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"SOCIAL MEDIA III","PLANILHA ELETRÔNICA"
"SOCIAL MEDIA III","FERRAMENTAS DE BIG DATA"
"SOCIAL MEDIA II","EDITOR DE TEXTOS"
"SOCIAL MEDIA II","FERRAMENTAS DE BIG DATA"
"SOCIAL MEDIA II","FERRAMENTAS DE SOCIAL LISTENING/SAC 2.0."
"SOCIAL MEDIA II","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"SOCIAL MEDIA II","PLANILHA ELETRÔNICA"
"SOCIAL MEDIA I","EDITOR DE TEXTOS"
"SOCIAL MEDIA I","FERRAMENTAS DE BIG DATA"
"SOCIAL MEDIA I","FERRAMENTAS DE SOCIAL LISTENING/SAC 2.0."
"SOCIAL MEDIA I","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"SOCIAL MEDIA I","PLANILHA ELETRÔNICA"
"HEAD NEW BUSINESS","INTELIGÊNCIA DE MERCADO"
"HEAD NEW BUSINESS","LEGISLAÇÃO TRABALHISTA"
"HEAD NEW BUSINESS","LEI 8.666/93 - LICITAÇÕES"
"HEAD NEW BUSINESS","MARKETING RELACIONAMENTO"
"HEAD NEW BUSINESS","MERCADO CONSUMIDOR"
"HEAD NEW BUSINESS","TÉCNICAS DE NEGOCIAÇÃO"
"ESPECIALISTA INOVAÇÃO","COMPORTAMENTO DO CONSUMIDOR"
"ESPECIALISTA INOVAÇÃO","DESENVOLVIMENTO DE CONTEÚDO"
"ESPECIALISTA INOVAÇÃO","FUNCIONAMENTO DAS REDES SOCIAIS"
"ESPECIALISTA INOVAÇÃO","INTELIGÊNCIA ANÁLÍTICA BASEADA EM DADOS"
"ESPECIALISTA INOVAÇÃO","MÉTRICAS DE ENGAJAMENTO"
"ESPECIALISTA INOVAÇÃO","MODELOS DE OPERAÇÃO DE AGÊNCIAS"
"ESPECIALISTA INOVAÇÃO","NOVAS TECNOLOGIAS NA COMUNICAÇÃO"
"ESPECIALISTA INOVAÇÃO","TENDÊNCIAS DE MARKETING"
"ESPECIALISTA INOVAÇÃO","TRANSFORMAÇÃO DIGITAL NAS EMPRESAS"
"ESPECIALISTA INOVAÇÃO","EXPERIÊNCIAS DE USUÁRIOS (UX)"
"Auxiliar de Tráfego","CÁLCULO DE PONTO - NÍVEL BÁSICO"
"Auxiliar de Tráfego","LEGISLAÇÃO DO MOTORISTA"
"Auxiliar de Tráfego","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Auxiliar de Tráfego","MATRIZ DE OPERAÇÃO DO GRUPO"
"Auxiliar de Tráfego","SISTEMAS INFORMATIZADOS DE CENTRAL DE RESERVAS"
"Auxiliar de Tráfego","PACOTE OFFICE INTERMEDIÁRIO"
"Especialista de Tráfego","ANÁLISE DE INDICADORES E ORÇAMENTOS"
"Especialista de Tráfego","FROTA DE VEÍCULOS DA EMPRESA"
"Especialista de Tráfego","LEGISLAÇÃO DO MOTORISTA"
"Especialista de Tráfego","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Especialista de Tráfego","MATRIZ DE OPERAÇÃO DO GRUPO"
"Especialista de Tráfego","PROCESSOS DE TRABALHO EM REGIME DE ESCALA"
"Especialista de Tráfego","SINISTRO"
"Especialista de Tráfego","SISTEMA COMERCIAL - NÍVEL AVANÇADO"
"Especialista de Tráfego","TÉCNICAS DE NEGOCIAÇÃO"
"Especialista de Tráfego","OFERTA E DEMANDA"
"Coordenador de Monitoramento da Operação","LEGISLAÇÃO ORGÃOS REGULADORES DO TRANSPORTE TERRESTRE"
"Coordenador de Monitoramento da Operação","PACOTE OFFICE AVANÇADO"
"Coordenador de Monitoramento da Operação","TACÓGRAFO"
"Coordenador de Monitoramento da Operação","SISTEMAS DE MONITORAMENTO"
"ASSISTENTE PLANEJAMENTO","EDITOR DE APRESENTAÇÕES"
"ASSISTENTE PLANEJAMENTO","PLANILHA ELETRÔNICA"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","CANVAS"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","CONTRATOS"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","DESIGN SPRINT E DESIGN THINKING"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","GESTÃO DE PESSOAS"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","GESTÃO DE PROJETOS ÁGEIS"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","LEGISLAÇÃO TRABALHISTA"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","LEI 12.232/10 - AGÊNCIA DE PUBLICIDADE"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","LEI 8.666/93 - LICITAÇÕES"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","NEGOCIAÇÃO"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","PACOTE G SUITE - TRELLO E WORKFLOWY. "
"ESPECIALISTA INTEGRADOR OPERAÇÃO","PLANILHA ELETRÔNICA"
"ESPECIALISTA INTEGRADOR OPERAÇÃO","PUBLI"
"Assistente de Risco e Compliance","APLICATIVOS OFFICE"
"Assistente de Risco e Compliance","FERRAMENTAS DE AUDITORIA"
"Assistente de Risco e Compliance","MÉTODOS ESTATÍSTICOS"
"Assistente de Risco e Compliance","PLATAFORMAS DE TRABALHO"
"Assistente de Risco e Compliance","PROCESSOS INTERNOS"
"Assistente de Risco e Compliance","TÉCNICAS DE AUDITORIA ASSISTIDA"
"Assistente de Risco e Compliance","GESTÃO DE INFORMAÇÃO"
"Analista de Risco e Compliance","APLICATIVOS OFFICE"
"Analista de Risco e Compliance","FERRAMENTAS DE AUDITORIA"
"Analista de Risco e Compliance","MÉTODOS ESTATÍSTICOS"
"Analista de Risco e Compliance","PLATAFORMAS DE TRABALHO"
"Analista de Risco e Compliance","PROCESSOS INTERNOS"
"Analista de Risco e Compliance","TÉCNICAS DE AUDITORIA ASSISTIDA"
"Analista de Risco e Compliance","GESTÃO DE INFORMAÇÃO"
"Assessor de Risco e Compliance","APLICATIVOS OFFICE"
"Assessor de Risco e Compliance","FERRAMENTAS DE AUDITORIA"
"Assessor de Risco e Compliance","MÉTODOS ESTATÍSTICOS"
"Assessor de Risco e Compliance","PLATAFORMAS DE TRABALHO"
"Assessor de Risco e Compliance","PROCESSOS INTERNOS"
"Assessor de Risco e Compliance","TÉCNICAS DE AUDITORIA ASSISTIDA"
"Assessor de Risco e Compliance","GESTÃO DE INFORMAÇÃO"
